run_id,round,date,hour,datetime,year,month,day,day_of_week,season,gen_id,firm_id,technology_group,pmax_mw,true_mc_per_mwh,offer_price,markup_factor,dispatch_mw,market_price,revenue,production_cost,profit,is_marginal,is_backstop
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed4,1,2020-07-01,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,121_NUCLEAR_1,Firm_Nuclear,Nuclear,400.0,8.1035,8.1035,1.0,400.0,28.20955554,11283.822216,3241.4,8042.422216000001,False,False
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed4,1,2020-07-01,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,223_STEAM_1,Firm_Coal,Coal,155.0,22.951589429999995,22.951589429999995,1.0,155.0,28.20955554,4372.4811087,3557.496361649999,814.9847470500008,False,False
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed4,1,2020-07-01,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,223_STEAM_2,Firm_Coal,Coal,155.0,22.951589429999995,22.951589429999995,1.0,155.0,28.20955554,4372.4811087,3557.496361649999,814.9847470500008,False,False
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed4,1,2020-07-01,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,216_STEAM_1,Firm_Coal,Coal,155.0,23.002325189999997,23.002325189999997,1.0,155.0,28.20955554,4372.4811087,3565.3604044499994,807.1207042500005,False,False
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed4,1,2020-07-01,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,123_STEAM_2,Firm_Coal,Coal,155.0,23.18412833,23.18412833,1.0,155.0,28.20955554,4372.4811087,3593.53989115,778.9412175499997,False,False
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed4,1,2020-07-01,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,223_STEAM_3,Firm_Coal,Coal,350.0,23.73799371,23.73799371,1.0,350.0,28.20955554,9873.344439,8308.2977985,1565.0466405000006,False,False
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed4,1,2020-07-01,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,115_STEAM_3,Firm_Coal,Coal,155.0,24.196729539999996,24.196729539999996,1.0,155.0,28.20955554,4372.4811087,3750.4930786999994,621.9880300000004,False,False
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed4,1,2020-07-01,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,102_STEAM_3,Firm_Coal,Coal,76.0,24.503258089999996,24.503258089999996,1.0,76.0,28.20955554,2143.92622104,1862.2476148399996,281.67860620000056,False,False
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed4,1,2020-07-01,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,102_STEAM_4,Firm_Coal,Coal,76.0,24.503258089999996,24.503258089999996,1.0,76.0,28.20955554,2143.92622104,1862.2476148399996,281.67860620000056,False,False
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed4,1,2020-07-01,1,2020-07-01 00:00:00,2020,7,1,Wednesday,summer,202_STEAM_3,Firm_Coal,Coal,76.0,25.042325539999997,25.042325539999997,1.0,76.0,28.20955554,2143.92622104,1903.2167410399998,240.70948000000044,False,False
